Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
забросила,~за*брос+и+л/а,~ z a1 * b r o0 s' + i4 l / a4,~ z a1 * b r o0 s' + i4 l / a4,3,cta0761
забудет,~за*буд/ет,~ z a1 * b u0 d' / i4 t,~ z a1 * b u0 d' / i4 t,3,"ctb2148,ktb2148,atb2148"
забудь,~за*б+у+дь,~ z a1 * b + u0 + t',~ z a1 * b + u0 + t,16,"kta0203,uta0203"
забывает,~за*бы+ва/ет,~ z a2 * b y1 + v a0 / - i4 t,~ z e1 * b y1 + v a0 / e4 t,8,mtb0465
забываю,~за*бы+ва/ю,~ z a2 * b y1 + v a0 / j u4,~ z a2 * b u1 + v a0 / j u4,8,ctb0121
забывают,~за*бы+ва/ют,~ z a2 * b y1 + v a0 / j u4 t,~ z y1 * b y1 + v a0 / e4 u4 t,3,ctb1719
забывая,~за*бы+ва+я,~ z a2 * b y1 + v a0 + j a4,~ s y1 * b y1 + v a0 + a4,8,otb0658
забыл,~за*бы+л,~ z a1 * b y0 + l,~ s a1 * b y0 + l,43,otb0641
забыла,~за*бы+л/а,~ z a1 * b y0 + l / a4,~ z a1 * b y0 + l / a4,13,"ctb0805,atb0805,mtb0699"
забыли,~за*бы+л/и,~ z a1 * b y0 + l' / i4,~ z a1 * b y0 + l' / e4,22,"ctc0741,gta0103,ktc0741,stb0153"
забыть,~за*бы/ть,~ z a1 * b y0 / t',~ z a1 * b y0 / t',2,"cta1140,cta1140"
заведомая,~за*вед+ом/ая,~ z a1 * v' e0 d + a4 m / a4 j a4,~ z a1 * v' e0 d + a4 m / a4 i4,8,ota0177
заведомая,~за*вед+ом/ая,~ z a1 * v' e0 d + a4 m / a4 j i4,~ z a1 * v' e0 d + a4 m / a4 e4,8,sta0177
завернувшиеся,~за*вер+ну+вш/ие^ся,~ z a2 * v' i1 r + n u0 + f sh / y4 - i4 ^ s' i4,~ z y1 * v' e1 r + n u0 + f sh / y4 y4 ^ s' u4,7,gta0072
завертела,~за*верт+е+л/а,~ z a2 * v' i1 r t' + e0 + l / a4,~ z y1 * v' e1 r t' + e0 + l / a4,3,ata0764
завершился,~за*верш+и+л^ся,~ z a2 * v' i1 r sh + y0 + l ^ s' a4,~ s y1 * v' i1 r sh + y0 + l ^ s' i4,7,otd0001
завидовал,~за*вид+ова+л,~ z a1 * v' i0 d + a4 v a4 + l,~ z a1 * v' i0 d + e4 v a4 + l,9,"atb1207,atb1212"
завидуют,~за*вид+у/ют,~ z a1 * v' i0 d + u4 / j u4 t,~ s a1 * v' i0 d + u4 / u4 t,8,otb0692
зависела,~за*вис+е+л/а,~ z a1 * v' i0 s' + i4 + l / a4,~ z a1 * v' i0 s' + e4 + l / a4,6,"cta1029,cta1030"
зависимости,~за*вис+им+ост/и,~ z a1 * v' i0 s' + i4 m + a4 s' t' / i4,~ z a1 * v' i0 s' + i4 m + a4 s' t' / i4,10,ota0205
зависимость,~за*вис+им+ость,~ z a1 * v' i0 s' + i4 m / a4 s' t',~ z a1 * v' i0 s' + i4 m / a4 s' t',5,"ste0239,ata1029"
зависит,~за*вис/ит,~ z a1 * v' i0 s' / i4 t,~ s a1 * v' i0 s' / i4 t,13,otd0102
зависти,*завист/и,* z a0 v' i4 s' t' / i4,* z a0 e4 s' t' / i4,8,sta0095
заводил,~за*вод+и+л,~ z a2 * v a1 d' + i0 + l,~ z a2 * v a1 d' + i0 + l,3,atb1342
заводила,~за*вод+и+л/а,~ z a2 * v a1 d' + i0 + l / a4,~ z y1 * v a1 d' + i0 + l / a4,3,cta0932
заводская,*завод+ск/ая,* z a2 v a1 + c k / a0 j a4,* z y1 v a1 + c k / a0 a4,3,kta0552
заволновалась,~за*волн+ова+л/а^сь,~ z a2 * v a2 l n + a1 v a0 + l / a4 ^ s',~ z * v o1 l n + a1 v a0 + l / y4 ^ s',8,stb0708
заволновался,~за*волн+ова+л^ся,~ z a2 * v a2 l n + a1 v a0 + l ^ s' a4,~ s a2 * v y1 l n + a1 v a0 + l ^ s' a4,3,atb1032
завтра,*завтра,* z a0 f t r a4,* a0 f t e4,49,mtb0520
завтрак,*завтра+к,* z a0 f t r a4 + k,* z a0 f t r + k,8,"ota0202,sta0202,ata0202"
завтрака,*завтра+к/а,* z a0 f t r a4 + k / a4,* s a0 f t r y4 + k / y4,8,ota0215
загадочного,~за*гад+оч+н/ого,~ z a1 * g a0 d + a4 ch + n / a4 v a4,~ s a1 * g a0 d + y4 ch + n / a4 v a4,3,cta0642
загар,~за*гар,~ z a1 * g a0 r,~ z a1 * g a0 r,8,"cta0232,gta0232,kta0232,ota0232,sta0232,uta0232,ata0232,mta0232"
заглядывавших,~за*гляд+ыва+вш/их,~ z a1 * g l' a0 d + y4 v a4 + f sh / y4 h,~ z a1 * g l' a0 d + e4 v e4 + f sh / y4 h,3,ata0853
заглядывала,~за*гляд+ыва+л/а,~ z a1 * g l' a0 d + y4 v a4 + l / a4,~ s a1 * g l' a0 d + y4 v y4 + l / y4,23,"otb0300,otb0318"
заглядывали,~за*гляд+ыва+л/и,~ z a1 * g l' a0 d + y4 v a4 + l' / i4,~ z a1 * g l' a0 d + y4 v u4 + l' / i4,3,ata0554
заглядывать,~за*гляд+ыва/ть,~ z a1 * g l' a0 d + y4 v a4 / t',~ z a1 * g l' a0 d + a4 v y4 / t',3,ata0805
заглядывая,~за*гляд+ыва+я,~ z a1 * g l' a0 d + y4 v a4 + j a4,~ z a1 * g l' a0 d + y4 v a4 + i4,3,kta0852
загнали,~за*гн+а+л/и,~ z a1 * g n + a0 + l' / i4,~ z a1 * g n + a0 + l' / e4,6,atb1614
заговаривал,~за*говар+ива+л,~ z a2 * g a1 v a0 r' + i4 v a4 + l,~ z e1 * g a1 v a0 r' + i4 v y4 + l,3,ctb1211
заговаривать,~за*говар+ива/ть,~ z a2 * g a1 v a0 r' + i4 v a4 / t',~ z y1 * g a1 v a0 r' + i4 v e4 / c,3,atb1180
заговорил,~за*говор+и+л,~ z a2 * g a2 v a1 + r' i0 + l,~ z y1 * g e1 v a1 + r' i0 + l,6,kta1090
заговорила,~за*говор+и+л/а,~ z a2 * g a2 v a1 r' + i0 + l / a4,~ s y1 * g y1 v a1 r' + i0 + l / a4,32,ota0022
заговорит,~за*говор/ит,~ z a2 * g a2 v a1 r' / i0 t,~ z a2 * g y1 v a1 r' / i0 t,3,ctb1800
загорают,~за*гор+а/ют,~ z a2 * g a1 r + a0 / j u4 t,~ z * g a1 r + a0 / o4 t,7,gtb0313
загорелый,~за*гор+е+л/ый,~ z a2 * g a1 r' + e0 + l / y4 j,~ z a2 * g a1 r' + e0 + l / y4 j,3,atb1374
загорелым,~за*гор+е+л/ым,~ z a2 * g a1 r' + e0 + l / y4 m,~ z e1 * g a1 r' + e0 + l / a4 m,3,ctb1018
загореть,~за*гор+е/ть,~ z a2 * g a1 r' + e0 / t',~ s y1 * g a1 r' + e0 / t',3,atb1019
заграничную,~за*гранич+н/ую,~ z a2 * g r a1 n' i0 ch + n / u4 j u4,~ z y1 * g r a1 n' i0 ch + n / o4,3,ktb1808
загроможден,~за*громожд+ен,~ z a2 * g r a2 m a1 zh d' + o0 n,~ z a2 * g r a2 m a1 sh t' + o0 n,8,ata0199
загудел,~за*гуд+е+л,~ z a2 * g u1 d' + e0 + l,~ z a2 * g u1 d' + e0 + l,8,gta0253
задавали,~за*да+ва+л/и,~ z a2 * d a1 + v a0 + l' / i4,~ z * d a1 + v a0 + l' / i4,3,ctb1077
задавать,~за*да+ва/ть,~ z a2 * d a1 + v a0 / t',~ z a2 * d a1 + v a0 / t',3,ctb1633
задан,~за*да+н,~ z a0 * d a4 + n,~ z a0 * d + n,1,cta1158
задание,~за*да+ни/е,~ z a1 * d a0 + n' i4 j / i4,~ z a1 * d a0 + n' i4 / e4,5,ctb1891
задания,~за*да+ни/я,~ z a1 * d a0 + n' i4 j / a4,~ s a1 * d a0 + n' i4 / a4,8,otb0240
задело,~за*де+л/о,~ z a1 * d' e0 + l / a4,~ z a1 * d' e0 + l / a4,3,"cta0951,kta0951,ata0951"
задержался,~за*держ+а+л^ся,~ z a2 * d' i1 r zh + a0 + l ^ s' a4,~ z * d' i1 r zh + a0 + l ^ s y4,8,otb0008
задерживается,~за*держ+ива/ет^ся,~ z a1 * d' e0 r zh + y4 v a4 / j i4 ^ c a4,~ z a1 * d' e0 r zh + y4 u4 / y4 e4 ^ c a4,8,gtb0119
задетый,~за*де+т/ый,~ z a1 * d' e0 + t / y4 j,~ z a1 * d' e0 + t / y4,8,"cta0221,gta0221,ota0221,sta0221,ata0221,mta0221"
задолжала,~за*долж+а+л/а,~ z a2 * d a1 l zh + a0 + l / a4,~ z a2 * d a1 l zh + a0 + l / a4,8,cta0034
задумались,~за*дум+а+л+и^сь,~ z a1 * d u0 m + a4 + l' + i4 ^ s',~ z a1 * d u0 m + o4 + l' + i4 ^ s',3,ata1105
задумался,~за*дум+а+л^ся,~ z a1 * d u0 m + a4 + l ^ s' i4,~ z a1 * d u0 m + u4 + l ^ s' i4,16,gta0302
задумчиво,~за*дум+чив+о,~ z a1 * d u0 m + ch i4 v + a4,~ z a1 * d u0 m + ch i4 v + a4,3,atb1467
задумчивости,~за*дум+чив+ост/и,~ z a1 * d u0 m + ch i4 v + a4 s' t' / i4,~ z a1 * d u0 m + ch i4 v + y4 s' t' / e4,3,"cta0717,kta0717"
задумчивым,~за*дум+чив/ым,~ z a1 * d u0 m + ch i4 v / y4 m,~ s a1 * d u0 m + ch i4 v / y4 m,8,ata0301
задумывался,~за*дум+ыва+л^ся,~ z a1 * d u0 m + y4 v a4 + l ^ s' i4,~ z a1 * d u0 m + y4 v + l ^ s' e4,10,gta0017
заезжал,~за*езж+а+л,~ z a2 * i1 zh zh + a0 + l,~ z e1 * i1 zh zh + a0 + l,4,cta0216
заехал,~за*ех+а+л,~ z a1 * j e0 h + a4 + l,~ s a1 * j e0 h + e4 + l,3,ata0854
зажмурился,~за*жмур+и+л^ся,~ z a1 * zh m u0 r' + i4 + l ^ s' a4,~ z a1 * zh m u0 r' + i4 + l ^ s' a4,3,"ctb1635,ktb1635"
заимели,~за*им+е+л/и,~ z a2 * i1 m' + e0 + l' / i4,~ z a2 * i1 m' + e0 + l' / i4,8,stb0010
заинтересуешь,~за*интерес+у/ешь,~ z a2 * i1 n' t' i1 r' i1 s + u0 / - i4 sh,~ z y1 * i1 n' t' i1 r' i1 s + u0 / i4 sh,8,ota0028
заискивающим,~за*иск+ив+а+ющ/им,~ z a1 * i0 s k' + i4 v + a4 + j u4 sc / i4 m,~ z a1 * i0 s k' + i4 v + u4 + u4 sc / i4 m,8,ctb0636
зайдем,~за*йд/ем,~ z a1 * j d' / o0 m,~ z a1 * d' / o0 m,8,gta0424
зайдите,~за*йд+и+те,~ z a1 * j d' + i0 + t' i4,~ z a1 * i1 d' + i0 + t' e4,15,ota0458
зайду,~за*йд/у,~ z a0 * j d / u4,~ z e1 * i1 d / u0,1,ktb0261
заказывали,~за*каз+ыва+л/и,~ z a1 * k a0 z + y4 v a4 + l' / i4,~ z a1 * k a0 s + y4 v y4 + l' / i4,3,kta1082
заключалась,~за*ключ+а+л/а^сь,~ z a2 * k l' u1 ch + a0 + l / a4 ^ s',~ s a2 * k l' u1 ch + a0 + l / a4 ^ s',4,ata0638
заключали,~за*ключ+а+л/и,~ z a2 * k l' u1 ch + a0 + l' / i4,~ z y1 * k l' u1 ch + a0 + l' / i4,3,"ctb2004,ktb2004"
заключались,~за*ключ+а+л/и^сь,~ z a2 * k l' u1 ch + a0 + l' / i4 ^ s',~ s y1 * k l' u1 ch + a0 + l' / e4 ^ s',5,ata0332
заколебался,~за*колеб+а+л^ся,~ z a2 * k a2 l' i1 b + a0 + l ^ s' a4,~ z y1 * k y1 l' i1 b + a0 + l ^ s' a4,1,cta1155
закололи,~за*кол+о+л/и,~ z a2 * k a1 l + o0 + l' / i4,~ z a2 * k a1 l + o0 + l' / i4,8,stb0686
закон,*закон,* z a1 k o0 n,* z a1 k o0 n,14,"cta0035,gta0035,gte0295,kta0035,ota0035,otd0152,otd0167,sta0035,ste0295,uta0035,ata0035,atd0152,atd0167,mta0035"
закончен,~за*конч+ен,~ z a1 * k o0 n' ch + i4 n,~ z a1 * k o0 n ch + e4 n,3,ata0857
закончила,~за*конч+и+л/а,~ z a1 * k o0 n' ch + i4 + l / a4,~ z a1 * k o0 n ch + i4 + l / a4,8,ata0231
закончим,~за*конч/им,~ z a1 * k o0 n' ch / i4 m,~ s a1 * k o0 n' ch / i4 m,10,otb0347
закончит,~за*конч/ит,~ z a1 * k o0 n' ch / i4 t,~ z a1 * k o0 n ch / i4 c,7,gtb0458
законы,*закон/ы,* z a1 k o0 n / y4,* z a1 k o0 n / y4,9,"ctb1306,gte0352,gte0357,ktb1306,otd0157,ste0352,ste0357,atd0157,atb1306"
закричал,~за*крич+а+л,~ z a2 * k r' i1 ch + a0 + l,~ z a2 * k r' i1 ch + a0 + l,8,mta0131
закричали,~за*крич+а+л/и,~ z a2 * k r' i1 ch + a0 + l' / i4,~ z y1 * k r' i1 ch + a0 + l' / e4,8,"ctb0571,utb0571"
закрутить,~за*крут+и/ть,~ z a2 * k r u1 t' + i0 / t',~ z a2 * k r u1 t' + i0 / t',8,mta0103
закрыв,~за*кры+в,~ z a1 * k r y0 + v,~ z a1 * k r y0 + v,11,"cta0122,ctc1144,gta0122,kta0122,ktc1144,ota0122,sta0122,uta0122,utc1144,ata0122,mta0122"
закрыла,~за*кры+л/а,~ z a1 * k r y0 + l / a4,~ s a1 * k r y0 + l / y4,8,otb0698
закрытую,~за*кры+т/ую,~ z a1 * k r y0 + t / u4 j u4,~ z a1 * k r y0 + t / u4,3,ata0663
закрыты,~за*кры+т/ы,~ z a1 * k r y0 + t / y4,~ z a0 * k r y0 + t / y4,8,gta0165
закрытыми,~за*кры+т/ыми,~ z a1 * k r y0 + t / y4 m' i4,~ s a1 * k r y0 + t / y4 m' i4,7,mta0172
закрыть,~за*кры/ть,~ z a1 * k r y0 / d',~ z a1 * k r y0 / d',3,"ctb2090,ktb2090,atb2090"
закуска,~за*кус+к/а,~ z a1 * k u0 s + k / a4,~ z a1 * k u0 s + k / a4,6,"cta0689,cta0691,kta0689,kta0691,ata0691"
заливает,~за*ли+ва/ет,~ z a2 * l' i1 + v a0 / j i4 t,~ z a2 * l' i1 + v a0 / e4 t,8,utb0042
заливался,~за*ли+ва+л^ся,~ z a2 * l' i1 + v a0 + l ^ s' i4,~ z y1 * l' i1 + v a0 + l ^ s' i4,8,gtb0604
зализать,~за*лиз+а/ть,~ z a2 * l' i1 z + a0 / t',~ z a2 * l' i1 z + a0 / t',8,mta0126
залился,~за*ли+л^ся,~ z a1 * l' i0 + l ^ s' a4,~ z a1 * l' i0 + l ^ s' a4,6,ktb0604
залился,~за*ли+л^ся,~ z a2 * l' i1 + l ^ s' a0,~ z a1 * l' i0 + l ^ s' a4,6,gtb0604
залитого,~за*ли+т/ого,~ z a0 * l' i4 + t / a4 v a4,~ z a0 * l' e4 + t / o4 v a4,8,gta0213
зальются,~за*ль/ют^ся,~ z a1 * l' / j u0 ^ c a4,~ z a1 * l' / j u0 ^ c,8,"stb0736,mtb0736"
замаскированный,~за*маск+ирова+нн/ый,~ z a2 * m a2 s k' + i1 r o0 v a4 + n / y4 j,~ z a2 * m a2 s k' + i1 r o0 v a4 + n / y4,3,ata0741
замаскировать,~за*маск+ирова/ть,~ z a2 * m a2 s k' + i1 r a1 v a0 / t',~ z a2 * m a2 s k' + e1 r a1 v a0 / t',8,atb0452
замена,~за*мен/а,~ z a1 * m' e0 n / a4,~ z a1 * m' e0 n / a4,3,"ctb1884,atb1884"
замерзшая,~за*мерз+ш/ая,~ z a1 * m' o0 r + sh sh / a4 j a4,~ z a1 * m' o0 r + sh / e4 e4,2,ktb2043
заметив,~за*мет+и+в,~ z a1 * m' e0 t' + i4 + f,~ z a1 * m' e0 t' + i4 + f,3,"cta1089,kta1089,ata1089"
заметил,~за*мет+и+л,~ z a1 * m' e0 t' + i4 + l,~ s a1 * m' e0 t' + + l,54,otd0078
заметила,~за*мет+и+л/а,~ z a1 * m' e0 t' + i4 + l / a4,~ z a1 * m' e0 t' + + l / a4,9,kta0859
заметку,~за*мет+к/у,~ z a1 * m' e0 t + k / u4,~ z a1 * m' e0 t + k /,8,utb0106
заметно,~за*мет+н+о,~ z a1 * m' e0 t + n + a4,~ s a1 * m' e0 t + n + e4,11,ata0654
заметное,~за*мет+н/ое,~ z a1 * m' e0 t + n / a4 j i4,~ z a1 * m' e0 t + n / e4 e4,3,"ktb1947,atb1947"
замечал,~за*меч+а+л,~ z a2 * m' i1 ch + a0 + l,~ z * m' i1 ch + a0 + l,23,atb1204
замечала,~за*меч+а+л/а,~ z a2 * m' i1 ch + a0 + l / a4,~ z * m' ch + a0 + l / a4,15,stb0780
замечали,~за*меч+а+л/и,~ z a2 * m' i1 ch + a0 + l' / i4,~ z a1 * m' i1 ch + a0 + l' / i4,6,atb1739
замечание,~за*меч+а+ни/е,~ z a2 * m' i1 ch + a0 + n' i4 - / i4,~ z y1 * m' i1 ch + a0 + n' e4 / e4,16,mtb0489
замечания,~за*меч+а+ни/я,~ z a2 * m' i1 ch + a0 + n' i4 j / a4,~ z a2 * m' i1 ch + a0 + n' i4 / a4,3,ata0992
замечательно,~за*меч+а+тельн+о,~ z a2 * m' i1 ch + a0 + t' i4 l' n + a4,~ s y1 * m' i1 ch + a0 + t' i4 l' n + o4,11,ota0448
замечательные,~за*меч+а+тель+н/ые,~ z a2 * m' i1 ch + a0 + t' i4 l' + n / y4 j i4,~ z y1 * m' i1 ch + a0 + t' i4 l' + n / y4 i4,3,"ctb1229,ktb1229,atb1229"
замечательный,~за*меч+а+тельн/ый,~ z a2 * m' i1 ch + a0 + t' i4 l' n / y4 j,~ z a2 * m' i1 ch + a0 + t' i4 l' n / y4 j,3,ata0695
замечательным,~за*меч+а+тель+н/ым,~ z a2 * m' i1 ch + a0 + t' i4 l' + n / y4 m,~ z * m' i1 ch + a0 + t' l' + n / y4 m,8,stb0603
замечать,~за*меч+а/ть,~ z a2 * m' i1 ch + a0 / t',~ s y1 * m' i1 ch + a0 / t,9,ata0967
замком,*замк/ом,* z a1 m k / o0 m,* z a1 m k / o0 m,8,"cta0133,gta0133,kta0133,ota0133,sta0133,uta0133,ata0133,mta0133"
замок,*замок,* z a1 m o0 k,* s a1 m o0 k,3,ata0662
замолчала,~за*молч+а+л/а,~ z a2 * m a1 l ch + a0 + l / a4,~ z e1 * m a1 l ch + a0 + l / e4,3,cta0976
замочную,*замоч+н/ую,* z a1 m o0 ch + n / u4 j u4,* z a1 m o0 ch + n / u4 i4,6,ctb1391
замуж,~за*муж,~ z a0 * m u4 sh,~ a0 * m u4 sh,45,mtb0495
замужем,~за*муж+ем,~ z a0 * m u4 zh + y4 m,~ s a0 * m u4 sh + y4 m,16,otb0672
замужестве,~за*муж+еств/е,~ z a1 * m u0 zh + y4 s t v' / i4,~ s a1 * m u0 sh + y4 s t f' / e4,8,otb0268
замурлыкал,~за*мурлык+а+л,~ z a2 * m u1 r l y0 k + a4 + l,~ z a2 * m u1 r l y0 k + a4 + l,8,kta0302
занавески,~за~на*вес+к/и,~ z a2 ~ n a1 * v' e0 s + k' / i4,~ z a2 ~ n a1 * v' e0 s + k' / e4,6,"gta0187,kta0187"
занавеску,~за~на*вес+к/у,~ z a2 ~ n a1 * v' e0 s + k / u4,~ z y1 ~ n a1 * v' e0 s + k / u4,3,"cta0913,kta0913,ata0913"
занавешенными,~за~на*веш+енн/ыми,~ z a2 ~ n a1 * v' e0 sh + y4 n / y4 m' i4,~ z a2 ~ n a1 * v' e0 sh + y4 n / y4 m' e4,3,cta0946
занимает,~за*ним+а/ет,~ z a2 * n' i1 m + a0 / j i4 t,~ z y1 * n' i1 m + a0 / e4 t,5,"cta1130,gte0014,ste0014"
занимается,~за*ним+а/ет^ся,~ z a2 * n' i1 m + a0 / j i4 ^ c a4,~ z a2 * n' i1 m + a0 / i4 ^ c a4,19,otb0517
занималась,~за*ним+а+л/а^сь,~ z a2 * n' i1 m + a0 + l / a4 ^ s',~ z * n' i1 m + a0 + l / y4 ^ s',8,ota0018
занимались,~за*ним+а+л/и^сь,~ z a2 * n' i1 m + a0 l' / i4 ^ s',~ z y1 * n' i1 m + a0 l' / i4 ^ s,11,uta0154
занимался,~за*ним+а+л^ся,~ z a2 * n' i1 m + a0 + l ^ s' a4,~ z a2 * n' i1 m + a0 + l ^ s a4,11,stb0076
занимать,~за*ним+а/ть,~ z a2 * n' i1 m + a0 / t',~ z a2 * n' i1 m + a0 / t',19,ata0420
заниматься,~за*ним+а/ть^ся,~ z a2 * n' i1 m + a0 ^ c a4,~ z a2 * n' e1 m + a0 ^ c a4,21,sta0158
заново,~за*нов+о,~ z a0 * n a4 v + a4,~ z a0 * n a4 v + a4,2,"ctb1778,atb1778"
заноза,*заноз/а,* z a1 n o0 z / a4,* z a1 n o0 s / e4,3,kta1048
занятием,~за*ня+ти/ем,~ z a1 * n' a0 + t' i4 / j i4 m,~ s a1 * n' a0 + t' i4 / e4 m,8,ota0500
занятий,~за*н+ят+ий,~ z a1 * n' + a0 t' + i4 j,~ z a1 * n' + a0 t' + i4,3,ktb1260
занятой,~за*н+ят/ой,~ z a1 * n' + i1 t / o0 j,~ z y1 * n' + i1 t / o0 y4,8,mtb0648
занять,~за*ня/ть,~ z a1 * n' a0 / d',~ s a1 * n' a0 / d,8,ata0322
заняться,~за*ня/ть^ся,~ z a1 * n' a0 ^ c a4,~ z a1 * n' a0 ^ c a4,6,ata0756
западе,*запад/е,* z a0 p a4 d' / i4,* z a0 p e4 d' / e4,1,cta1052
запах,~за*пах,~ z a0 * p a4 h,~ z a0 * p a4 h,16,"kta0116,kta0118,sta0118,ata0116,ata0118,mta0116,mta0118"
запаха,~за*пах/а,~ z a0 * p a4 h / a4,~ z a0 * p a4 h / a4,3,kta0620
запахов,~за*пах/ов,~ z a0 * p a4 h / a4 f,~ s a0 * p e4 h / e4 f,3,ata0848
запахом,~за*пах/ом,~ z a0 * p a4 h / a4 m,~ s a0 * p y4 h / y4 m,5,cta0847
запел,~за*пе+л,~ z a1 * p' e0 + l,~ s a1 * p' e0 + l,16,otb0089
запирает,~за*пир+а/ет,~ z a2 * p' i1 r + a0 / j i4 d,~ z y1 * p' i1 r + a0 / e4 d,3,atb1574
запирался,~за*пир+а+л^ся,~ z a2 * p' i1 r + a0 + l ^ s' i4,~ z e1 * p' e1 r + a0 + l ^ s' e4,8,gta0194
записать,~за*пис+а/ть,~ z a2 * p' i1 s + a0 / t',~ z * p' i1 s + a0 / t',8,stb0669
записи,~за*пис/и,~ z a0 * p' i4 s' / i4,~ z a0 * p' i4 s' / i4,2,"ctb1945,atb1945"
записку,~за*пис+к/у,~ z a1 * p' i0 s + k / u4,~ z a1 * p' i0 s + k / u4,3,"cta0927,kta0927,ata0927"
записной,~за*пис+н/ой,~ z a2 * p' i1 s + n / o0 j,~ z y1 * p' i1 s + n / o0,3,kta0758
записных,~за*пис+н/ых,~ z a2 * p' i1 s + n / y0 h,~ z y1 * p' i1 s + n / y0 h,3,"cta0774,kta0774,ata0774"
записывать,~за*пис+ыва/ть,~ z a1 * p' i0 s + y4 v a4 / t',~ s a1 * p' i0 s + y4 v y4 / t',8,otb0644
заплатит,~за*плат/ит,~ z a1 * p l a0 t' / i4 t,~ z a1 * p l a0 t' / e4 t,8,gta0050
заплатить,~за*плат+и/ть,~ z a2 * p l a1 t' + i0 / t',~ s a2 * p l a1 t' + i0 / t',13,ata0438
заплывы,~за*плыв/ы,~ z a1 * p l y0 v / y4,~ z a1 * p l y0 v / y4,3,"cta0928,kta0928,ata0928"
заполнен,~за*полн+ен,~ z a1 * p o0 l n' + i4 n,~ z a1 * p o0 l n' + e4 n,3,ata0551
запоминается,~за~по*мин+а/ет^ся,~ z a2 ~ p a2 * m' i1 n + a0 / j i4 ^ c a4,~ z y1 ~ p y1 * m' e1 n + a0 / e4 ^ c e4,3,atb1095
запомнил,~за~по*мн+и+л,~ z a1 ~ p o0 * m n' + i4 + l,~ z a1 ~ p o0 * m n' + e4 + l,3,atb1094
запомнилось,~за*помн+и+л/о^сь,~ z a1 * p o0 m n' + i4 + l / a4 ^ s',~ z a1 * p o0 m n' + i4 + l / a4 ^ s',3,ata0759
запомнить,~за~по*мн+и/ть,~ z a1 ~ p o0 * m n' + i4 / t',~ z a1 * p o0 + m n' + i4 / c,8,mtb0477
запрещают,*запрещ+а/ют,* z a2 p r' i1 sc + a0 / j u4 t,* s y1 p r' i1 sc + a0 / j u4 t,14,atb0025
запруды,~за*пруд/ы,~ z a1 * p r u0 d / y4,~ s a1 * p r u0 d / y4,3,ata0738
запустение,~за*пуст+ени/е,~ z a2 * p u1 s' t' + e0 n' i4 j / i4,~ z e1 * p u1 s' t' + e0 n' e4 / e4,3,ata0845
зараженные,~за*раж+енн/ые,~ z a2 * r a1 zh + o0 n / y4 j i4,~ z a2 * r a1 zh + o0 n / y4 i4,3,"cta0770,ata0770"
заранее,~за*ран+ее,~ z a1 * r a0 n' + i4 j i4,~ s a1 * r a0 n' + i4 i4,8,otd0314
зарозовевшими,~за*розов+е+вш/ими,~ z a2 * r a2 z a1 v' + e0 + f sh / y4 m' i4,~ z a2 * r a2 z a1 v' + e0 + f sh / y4 m' i4,3,ata0721
зарыдала,~за*рыд+а+л/а,~ z a2 * r y1 d + a0 + l / a4,~ z y1 * r y1 d + a0 + l / a4,1,cta1144
засияли,~за*сия+л/и,~ z a2 * s' i1 j a0 + l' / i4,~ z y1 * s' i1 a0 + l' / i4,3,ata0683
заскочил,~за*скоч+и+л,~ z a2 * s k a1 ch + i0 + l,~ z y1 * s k a1 ch + i0 + l,3,"cta1095,kta1095,ata1095"
заслонил,~за*слон+и+л,~ z a2 * s l a1 n' + i0 + l,~ z e1 * s l a1 n' + i0 + l,8,mtb0503
заслужил,~за*служ+и+л,~ z a2 * s l u1 zh + y0 + l,~ s y1 * s l u1 sh + y0 + l,14,otb0410
заслужили,~за*служ+и+л/и,~ z a2 * s l u1 zh + y0 + l' / i4,~ z a2 * s l u1 zh + y0 + l' / i4,3,"ctb1874,atb1874"
засмеявшись,~за*сме+я+вши^сь,~ z a2 * s m' i1 j + a0 + f sh y4 ^ s',~ z y1 * s m' i1 j + a0 + f sh y4 ^ s',3,"cta0948,kta0948,ata0948"
засмеялась,~за*сме+я+л/а^сь,~ z a2 * s m' i1 j + a0 + l / a4 ^ s',~ z a2 * s m' i1 j + a0 + l / a4 ^ s',9,ata1083
засмеялся,~за*сме+я+л^ся,~ z a2 * s m' i1 j + a0 + l ^ s' a4,~ z a2 * s m' i1 j + a0 + l ^ s' a4,3,ata1097
заснул,~за*с+ну/л,~ z a1 * s + n u0 / l,~ z a1 * s + n u0 / l,8,"cta0166,gta0166,kta0166,ota0166,sta0166,uta0166,ata0166,mta0166"
заснула,~за*с+ну+л/а,~ z a1 * s + n u0 + l / a4,~ z a1 * s + n u0 + l / a4,8,"kta0098,ota0098,ata0098,mta0098"
заснуть,~за*с+ну/ть,~ z a1 * s + n u0 / t',~ z a1 * s + n u0 / t,11,kta1009
заставил,~за*став+и/л,~ z a1 * s t a0 v' + i4 + l,~ z a1 * s t a0 v' + i4 + l,3,"ctb0824,ktb0824,atb0824"
заставила,~за*став+и+л/а,~ z a1 * s t a0 v' + i4 + l / a4,~ z a1 * s t a0 v' + i4 + l / y4,3,"cta1035,kta1035"
заставило,~за*став+и+л/о,~ z a1 * s t a0 v' + i4 + l / a4,~ z a1 * s t a0 v' + i4 + l / a4,3,"cta0611,kta0611,ata0611"
